date,price
2009-10-14,994.63
2009-10-15,982.25
2009-10-16,978.75
2009-10-18,978.38
2009-10-19,"1,001.50"
2009-10-20,986.63
2009-10-21,"1,007.13"
2009-10-22,"1,009.25"
2009-10-23,"1,010.13"
2009-10-25,"1,010.63"
2009-10-26,989.13
2009-10-27,973.63
2009-10-28,971.25
2009-10-29,987.63
2009-10-30,976.13
2009-11-01,975.75
2009-11-02,995.63
2009-11-04,998.38
2009-11-05,972.38
2009-11-06,956.63
2009-11-08,956.75
2009-11-09,970.38
2009-11-10,965.63
2009-11-11,972.88
2009-11-12,990.63
2009-11-13,985.13
2009-11-15,985.13
2009-11-16,"1,008.63"
2009-11-17,"1,031.13"
2009-11-18,"1,029.13"
2009-11-19,"1,045.75"
2009-11-20,"1,044.88"
2009-11-22,"1,045.13"
2009-11-23,"1,038.63"
2009-11-24,"1,046.63"
2009-11-25,"1,048.00"
2009-11-27,"1,053.25"
2009-11-29,"1,053.50"
2009-11-30,"1,057.88"
2009-12-01,"1,058.13"
2009-12-02,"1,033.88"
2009-12-03,"1,048.38"
2009-12-04,"1,045.25"
2009-12-06,"1,045.25"
2009-12-07,"1,054.88"
2009-12-08,"1,043.63"
2009-12-09,"1,027.88"
2009-12-10,"1,029.63"
2009-12-11,"1,034.13"
2009-12-13,"1,034.25"
2009-12-14,"1,057.88"
2009-12-15,"1,054.63"
2009-12-16,"1,060.38"
2009-12-17,"1,028.75"
2009-12-18,"1,019.25"
2009-12-20,"1,019.38"
2009-12-21,"1,007.88"
2009-12-22,997.5
2009-12-23,"1,007.38"
2009-12-24,"1,009.13"
2009-12-25,"1,009.00"
2009-12-28,"1,040.38"
2009-12-29,"1,045.13"
2009-12-30,"1,043.75"
2009-12-31,"1,049.25"
2010-01-01,"1,048.63"
2010-01-04,"1,058.13"
2010-01-05,"1,059.88"
2010-01-06,"1,058.13"
2010-01-07,"1,026.13"
2010-01-08,"1,019.38"
2010-01-11,"1,009.88"
2010-01-12,977.88
2010-01-13,993.13
2010-01-14,981.88
2010-01-15,973.88
2010-01-18,973.38
2010-01-19,963.63
2010-01-20,942.63
2010-01-21,952.88
2010-01-22,949.88
2010-01-25,940.88
2010-01-26,948.38
2010-01-27,931.13
2010-01-28,932.38
2010-01-29,915.25
2010-01-31,915.5
2010-02-01,911.13
2010-02-02,926.63
2010-02-03,909.5
2010-02-04,906
2010-02-05,916.63
2010-02-08,929.5
2010-02-09,924.38
2010-02-10,938.13
2010-02-11,943.13
2010-02-12,945.88
2010-02-16,963.88
2010-02-17,952.63
2010-02-18,944.88
2010-02-19,945.38
2010-02-22,968.38
2010-02-23,960.63
2010-02-24,962.38
2010-02-25,947.75
2010-02-26,962.63
2010-03-01,963.75
2010-03-02,964.13
2010-03-03,964.75
2010-03-04,942.38
2010-03-05,942.63
2010-03-08,949.88
2010-03-09,947.13
2010-03-10,959.13
2010-03-11,930.88
2010-03-12,924.63
2010-03-15,931.38
2010-03-16,944.63
2010-03-17,958.88
2010-03-18,959.38
2010-03-19,961.25
2010-03-22,968.88
2010-03-23,966.38
2010-03-24,959.38
2010-03-25,942.13
2010-03-26,954.63
2010-03-29,969.13
2010-03-30,974.13
2010-03-31,940.38
2010-04-01,941.63
2010-04-05,934.38
2010-04-06,944.63
2010-04-07,952.38
2010-04-08,946.88
2010-04-09,952.88
2010-04-12,959.88
2010-04-13,968.38
2010-04-14,967.88
2010-04-15,985.25
2010-04-16,981
2010-04-18,994.5
2010-04-19,991.63
2010-04-20,996.88
2010-04-21,"1,005.88"
2010-04-22,"1,013.00"
2010-04-23,"1,008.75"
2010-04-25,"1,015.13"
2010-04-26,"1,007.38"
2010-04-27,991.25
2010-04-28,994.63
2010-04-29,998
2010-04-30,999.75
2010-05-03,985.63
2010-05-04,987.38
2010-05-05,978.63
2010-05-06,952.25
2010-05-07,961.13
2010-05-09,959.25
2010-05-10,961.88
2010-05-11,965.13
2010-05-12,964.5
2010-05-13,964.38
2010-05-14,952.63
2010-05-16,954.88
2010-05-17,944.38
2010-05-18,936.63
2010-05-19,944.75
2010-05-20,943.5
2010-05-21,940.88
2010-05-23,942.38
2010-05-24,940.5
2010-05-25,935.63
2010-05-26,943.88
2010-05-27,954.38
2010-05-28,942.63
2010-05-31,940.88
2010-06-01,931.88
2010-06-02,935.75
2010-06-03,956.25
2010-06-04,934.88
2010-06-06,931.88
2010-06-07,932.88
2010-06-08,928.5
2010-06-09,945.63
2010-06-10,935.13
2010-06-11,945.38
2010-06-13,948.38
2010-06-14,950.63
2010-06-15,952.13
2010-06-16,957.38
2010-06-17,945.25
2010-06-18,950.38
2010-06-21,955.63
2010-06-22,957.38
2010-06-23,945.13
2010-06-24,940
2010-06-25,942.5
2010-06-28,946.38
2010-06-29,933
2010-06-30,934.38
2010-07-01,935.88
2010-07-02,945.25
2010-07-04,945.63
2010-07-05,941.63
2010-07-06,942.88
2010-07-07,969.75
2010-07-08,981.38
2010-07-09,995.88
2010-07-11,995.25
2010-07-12,997.75
